SrcPlate,SrcWell,DesPlate,DesWell,Vol,,DesPlate 1,,,,,,
0509Z4,C3,2,D2,16.498,,,,,,,,
0509Z4,C4,2,D2,12.518,,,,,,,,
0509Z4,C5,2,D2,15.32,,,,,,,,
0509Z4,C6,2,D2,20.33,,,,,,,,
0509Z4,C7,2,D2,19.554,,,,,,,,
0509Z4,C8,2,D2,22.304,,,,,,,,
0509Z4,C9,2,D2,19.022,,,,,,,,
0509Z4,C10,2,D2,14.218,,,,,,,,
0509Z4,C11,2,D2,13.954,,,,,,,,
0509Z4,C12,2,D2,12.794,,,,,,,,
0509Z4,C12,2,A3,60,,,,,,,,
0509Z4,D1,2,B3,60,,,,,,,,
0509Z4,D1,2,C3,14.218,,,,,,,,
0509Z4,D2,2,C3,17.574,,,,,,,,
0509Z4,D3,2,C3,18.422,,,,,,,,
0509Z4,D4,2,C3,17.356,,,,,,,,
0509Z4,D5,2,C3,22.58,,,,,,,,
0509Z4,D6,2,C3,18.518,,,,,,,,
0509Z4,D7,2,C3,18.518,,,,,,,,
0509Z4,D8,2,C3,23.102,,,,,,,,
0509Z4,D9,2,C3,11.494,,,,,,,,
0509Z4,D10,2,C3,20.588,,,,,,,,
0509Z4,D11,2,C3,18.568,,,,,,,,
0509Z4,D12,2,C3,16.614,,,,,,,,
0509Z4,E1,2,C3,15.602,,,,,,,,
0509Z4,E2,2,C3,16.99,,,,,,,,
0509Z4,E3,2,C3,18.97,,,,,,,,
0509Z4,E4,2,C3,10.59,,,,,,,,
0509Z4,E4,2,D3,60,,,,,,,,
0509Z4,E3,2,A4,60,,,,,,,,
0509Z4,E3,2,B4,18.97,,,,,,,,
0509Z4,E4,2,B4,10.59,,,,,,,,
0509Z4,E5,2,B4,15.814,,,,,,,,
0509Z4,E6,2,B4,14.726,,,,,,,,
0509Z4,E7,2,B4,15.24,,,,,,,,
0509Z4,E8,2,B4,12.858,,,,,,,,
0509Z4,E9,2,B4,18.634,,,,,,,,
0509Z4,E10,2,B4,16.99,,,,,,,,
0509Z4,E11,2,B4,18.97,,,,,,,,
0509Z4,E12,2,B4,15.14,,,,,,,,
0509Z4,F1,2,B4,10.692,,,,,,,,
0509Z4,F2,2,B4,12.062,,,,,,,,
0509Z4,F3,2,B4,10.174,,,,,,,,
0509Z4,F4,2,B4,10.056,,,,,,,,
0509Z4,F5,2,B4,19.338,,,,,,,,
0509Z4,F6,2,B4,10.494,,,,,,,,
0509Z4,F6,2,C4,60,,,,,,,,
0509Z4,F7,2,D4,60,,,,,,,,
0509Z4,F7,2,A5,11.744,,,,,,,,
0509Z4,F8,2,A5,16.058,,,,,,,,
0509Z4,F9,2,A5,11.248,,,,,,,,
0509Z4,F10,2,A5,23.128,,,,,,,,
0509Z4,F11,2,A5,18.902,,,,,,,,
0509Z4,F12,2,A5,11,,,,,,,,
0509Z4,G1,2,A5,15.306,,,,,,,,
0509Z4,G2,2,A5,11.526,,,,,,,,
0509Z4,G3,2,A5,10.38,,,,,,,,
0509Z4,G4,2,A5,7.076,,,,,,,,
0509Z4,G5,2,A5,13.88,,,,,,,,
0509Z4,G6,2,A5,7.498,,,,,,,,
0509Z4,G7,2,A5,9.46,,,,,,,,
0509Z4,G8,2,A5,12.674,,,,,,,,
0509Z4,G9,2,A5,20.488,,,,,,,,
0509Z4,G10,2,A5,15.152,,,,,,,,
0509Z4,G10,2,B5,60,,,,,,,,
0509Z4,G9,2,C5,60,,,,,,,,
0509Z4,G9,2,D5,20.488,,,,,,,,
0509Z4,G10,2,D5,15.152,,,,,,,,
0509Z4,G11,2,D5,15.556,,,,,,,,
0509Z4,G12,2,D5,12.346,,,,,,,,
0509Z4,H1,2,D5,29.62,,,,,,,,
0509Z4,H2,2,D5,19.48,,,,,,,,
0509Z4,H3,2,D5,13.35,,,,,,,,
0509Z4,H4,2,D5,11.494,,,,,,,,
0509Z4,H5,2,D5,16.68,,,,,,,,
0509Z4,H6,2,D5,15.888,,,,,,,,
0509Z4,H7,2,D5,17.312,,,,,,,,
0509Z4,H8,2,D5,16.666,,,,,,,,
0509Z4,H9,2,D5,12.784,,,,,,,,
0509Z4,H10,2,D5,15.284,,,,,,,,
0509Z4,H11,2,D5,19.022,,,,,,,,
0509Z4,H12,2,D5,15.14,,,,,,,,
0509Z4,H12,2,A6,60,,,,,,,,
