primerLabel,srcLabel,srcWell,dstLabel,dstWell,volume,,dst1
505621_22,1030H2,E01,dst3,6,70
505621_22,1030H2,E01,dst3,7,7
505621_23,1030H2,E02,dst3,7,12
505621_24,1030H2,E03,dst3,7,11
505621_25,1030H2,E04,dst3,7,11
505621_26,1030H2,E05,dst3,7,10
505621_27,1030H2,E06,dst3,7,10
505621_28,1030H2,E07,dst3,7,9
505621_29,1030H2,E08,dst3,7,9
505621_30,1030H2,E09,dst3,7,7
505621_31,1030H2,E10,dst3,7,9
505621_32,1030H2,E11,dst3,7,13
505622_1,1030H2,E12,dst3,7,80
505622_1,1030H2,E12,dst3,8,8
505622_2,1030H2,F01,dst3,8,9
505622_3,1030H2,F02,dst3,8,6
505622_4,1030H2,F03,dst3,8,6
505622_5,1030H2,F04,dst3,8,7
505622_6,1030H2,F05,dst3,8,6
505622_7,1030H2,F06,dst3,8,7
505622_8,1030H2,F07,dst3,8,8
505622_9,1030H2,F08,dst3,8,6
505622_10,1030H2,F09,dst3,8,6
505622_11,1030H2,F10,dst3,8,6
505622_12,1030H2,F11,dst3,8,6
505622_13,1030H2,F12,dst3,8,8
505622_14,1030H2,G01,dst3,8,8
505622_14,1030H2,G01,dst3,9,80
505623_1,1030H2,G02,dst3,10,80
505623_1,1030H2,G02,dst3,11,8
505623_2,1030H2,G03,dst3,11,7
505623_3,1030H2,G04,dst3,11,6
505623_4,1030H2,G05,dst3,11,6
505623_5,1030H2,G06,dst3,11,7
505623_6,1030H2,G07,dst3,11,5
505623_7,1030H2,G08,dst3,11,5
505623_8,1030H2,G09,dst3,11,8
505623_9,1030H2,G10,dst3,11,8
505623_10,1030H2,G11,dst3,11,8
505623_11,1030H2,G12,dst3,11,8
505623_12,1030H2,H01,dst3,11,6
505623_13,1030H2,H02,dst3,11,6
505623_14,1030H2,H03,dst3,11,10
505623_14,1030H2,H03,dst3,12,100
505627_1,1030H2,H04,dst3,13,80
505627_1,1030H2,H04,dst3,14,8
505627_2,1030H2,H05,dst3,14,9
505627_3,1030H2,H06,dst3,14,7
505627_4,1030H2,H07,dst3,14,10
505627_5,1030H2,H08,dst3,14,10
505627_6,1030H2,H09,dst3,14,9
505627_7,1030H2,H10,dst3,14,7
505627_8,1030H2,H11,dst3,14,10
505627_8,1030H2,H11,dst3,15,100
