primerLabel,srcLabel,srcWell,dstLabel,dstWell,volume,,Start
B546774,0317A1,E11,Mix,B2,17
B546775,0317A1,F11,Mix,B2,5
B546776,0317A1,G11,Mix,B2,2
B546777,0317A1,H11,Mix,B2,11
B546778,0317A1,A12,Mix,B2,5
B546779,0317A1,B12,Mix,B2,3
B546779,0317A1,B12,End,B2,50
B546806,0317A1,C12,Start,C2,50
B546806,0317A1,C12,Mix,C2,24
B546807,0317A1,D12,Mix,C2,10
B546808,0317A1,E12,Mix,C2,19
B546809,0317A1,F12,Mix,C2,18
B546810,0317A1,G12,Mix,C2,8
B546811,0317A1,H12,Mix,C2,6
B546812,0317A2,A01,Mix,C2,7
B546812,0317A2,A01,Start,D2,50
B546812,0317A2,A01,Mix,D2,7
B546813,0317A2,B01,Mix,C2,9
B546813,0317A2,B01,End,C2,50
B546813,0317A2,B01,Mix,D2,9
B546814,0317A2,C01,Mix,D2,17
B546815,0317A2,D01,Mix,D2,5
B546816,0317A2,E01,Mix,D2,7
B546817,0317A2,F01,Mix,D2,7
B546818,0317A2,G01,Mix,D2,6
B546819,0317A2,H01,Mix,D2,6
B546819,0317A2,H01,End,D2,50
B546820,0317A2,A02,Start,E2,50
B546820,0317A2,A02,Mix,E2,44
B546821,0317A2,B02,Mix,E2,13
B546822,0317A2,C02,Mix,E2,4
B546823,0317A2,D02,Mix,E2,5
B546824,0317A2,E02,Mix,E2,9
B546825,0317A2,F02,Mix,E2,18
B546826,0317A2,G02,Mix,E2,25
B546826,0317A2,G02,Start,F2,50
B546826,0317A2,G02,Mix,F2,25
B546827,0317A2,H02,Mix,E2,6
B546827,0317A2,H02,End,E2,50
B546827,0317A2,H02,Mix,F2,6
B546828,0317A2,A03,Mix,F2,36
B546829,0317A2,B03,Mix,F2,11
B546830,0317A2,C03,Mix,F2,11
B546831,0317A2,D03,Mix,F2,7
B546832,0317A2,E03,Mix,F2,32
B546833,0317A2,F03,Mix,F2,8
B546833,0317A2,F03,End,F2,50
B546834,0317A2,G03,Start,G2,50
B546834,0317A2,G03,Mix,G2,4
B546835,0317A2,H03,Mix,G2,11
B546836,0317A2,A04,Mix,G2,5
B546837,0317A2,B04,Mix,G2,4
B546838,0317A2,C04,Mix,G2,5
B546839,0317A2,D04,Mix,G2,5
B546840,0317A2,E04,Mix,G2,4
B546840,0317A2,E04,Start,H2,50
B546840,0317A2,E04,Mix,H2,4
B546841,0317A2,F04,Mix,G2,9
B546841,0317A2,F04,End,G2,50
B546841,0317A2,F04,Mix,H2,9
B546842,0317A2,G04,Mix,H2,4
B546843,0317A2,H04,Mix,H2,5
B546844,0317A2,A05,Mix,H2,5
B546845,0317A2,B05,Mix,H2,5
B546846,0317A2,C05,Mix,H2,5
B546847,0317A2,D05,Mix,H2,5
B546847,0317A2,D05,End,H2,50
B546945,0317A2,E05,Start,A3,50
B546945,0317A2,E05,Mix,A3,6
B546946,0317A2,F05,Mix,A3,4
B546947,0317A2,G05,Mix,A3,3
B546948,0317A2,H05,Mix,A3,5
B546949,0317A2,A06,Mix,A3,6
B546950,0317A2,B06,Mix,A3,7
B546951,0317A2,C06,Mix,A3,6
B546898,0317A2,D06,Mix,A3,129
B546899,0317A2,E06,Mix,A3,6
B546899,0317A2,E06,Start,B3,50
B546899,0317A2,E06,Mix,B3,6
B546900,0317A2,F06,Mix,A3,9
B546900,0317A2,F06,End,A3,50
B546900,0317A2,F06,Mix,B3,9
B546901,0317A2,G06,Mix,B3,5
B546902,0317A2,H06,Mix,B3,7
B546903,0317A2,A07,Mix,B3,8
B546904,0317A2,B07,Mix,B3,8
B546905,0317A2,C07,Mix,B3,7
B546906,0317A2,D07,Mix,B3,8
B546907,0317A2,E07,Mix,B3,8
B546908,0317A2,F07,Mix,B3,11
B546908,0317A2,F07,End,B3,50
B546856,0317A2,G07,Start,C3,50
B546856,0317A2,G07,Mix,C3,6
B546857,0317A2,H07,Mix,C3,4
B546858,0317A2,A08,Mix,C3,5
B546859,0317A2,B08,Mix,C3,4
B546860,0317A2,C08,Mix,C3,4
B546861,0317A2,D08,Mix,C3,8
B546862,0317A2,E08,Mix,C3,5
B546863,0317A2,F08,Mix,C3,6
B546864,0317A2,G08,Mix,C3,3
B546864,0317A2,G08,Start,D3,50
B546864,0317A2,G08,Mix,D3,3
B546865,0317A2,H08,Mix,C3,14
B546865,0317A2,H08,End,C3,50
B546865,0317A2,H08,Mix,D3,14
B546866,0317A2,A09,Mix,D3,7
B546867,0317A2,B09,Mix,D3,5
B546868,0317A2,C09,Mix,D3,8
B546869,0317A2,D09,Mix,D3,4
B546870,0317A2,E09,Mix,D3,6
B546871,0317A2,F09,Mix,D3,8
B546871,0317A2,F09,End,D3,50
